CAtomCount,TotalAtomCount,HAtomCount,Epsilon
51,125,53,130592.6562
51,125,53,130592.6562
51,125,53,130592.6562
40,84,39,127009.8345
46,96,42,115153.515
43,89,41,127106.0364
37,81,39,135367.0146
36,78,37,126834.9345
36,78,37,126834.9345
40,100,46,133353.5713
27,63,33,101329.2457
28,56,26,96915.60019
28,52,18,98171.79722
37,81,39,135367.0146
39,83,39,127070.3226
42,76,29,154080.3194
76,174,96,98579.40656
57,107,48,119435.7971
77,185,96,152032.4492
49,101,45,114494.4457
100,184,82,101914.4609
70,186,108,113500.8345
26,70,32,108881.5089
26,62,30,85931.54658
23,53,24,101374.9482
33,77,33,126149.0329
40,92,46,272568.1707
28,58,14,89960.8214
33,75,34,117254.6476
40,96,56,108825.1585
37,81,39,135367.0146
36,91,46,168828.4099
36,91,46,168828.4099
36,91,46,168828.4099
30,60,22,93466.26989
32,58,21,81897.13695
